term,count
mood,75
risk,74
mechanisms,66
psychiatric,63
cell,62
analyses,53
circadian,52
levels,51
drug,51
depression,51
wide,49
polygenic,49
therapeutic,49
genome,45
brain,44
schizophrenia,42
acid,41
identified,40
associations,38
induced,38
genome wide,37
genetics,37
activity,37
pathways,36
protein,36
scores,36
including,36
first,35
cells,35
changes,34
cohort,34
factors,34
higher,33
variants,33
showed,33
underlying,32
individuals,32
type,32
molecular,32
action,30
major,30
involved,30
mechanism,30
well,30
common,29
role,29
pgs,29
targets,29
observed,28
different,28
